B0,B1,B2,B3,Label
-73,-66,-71,-71,8
-76,-79,-85,-78,1
-74,-81,-81,-72,1
-73,-66,-56,-72,8
-88,-67,-76,-63,15
-65,-78,-81,-63,10
-75,-69,-79,-70,1
-80,-61,-74,-77,12
-85,-74,-68,-68,15
-84,-74,-76,-70,15
-75,-82,-67,-65,6
-84,-76,-81,-65,10
-87,-75,-77,-63,15
-79,-78,-76,-52,11
-76,-58,-71,-75,6
-85,-77,-82,-56,13
-80,-68,-92,-75,3
-77,-83,-76,-56,11
-72,-85,-84,-73,5
-87,-74,-85,-69,7
-72,-65,-87,-57,8
-79,-64,-80,-75,4
-74,-65,-93,-69,8
-73,-91,-90,-87,5
-56,-87,-87,-59,9
-63,-76,-83,-60,14
-83,-69,-83,-85,3
-56,-75,-78,-57,5
-63,-76,-76,-70,2
-78,-76,-83,-60,14
-78,-76,-88,-72,7
-68,-72,-78,-55,13
-73,-83,-91,-57,9
-74,-63,-79,-65,6
-80,-64,-80,-74,4
-72,-86,-54,-68,16
-70,-64,-79,-60,4
-70,-85,-74,-57,9
-70,-77,-83,-71,1
-71,-93,-97,-85,5
-71,-68,-61,-59,9
-73,-66,-72,-74,8
-78,-72,-61,-60,14
-54,-80,-83,-63,9
-89,-71,-76,-78,12
-70,-77,-77,-53,13
-74,-73,-75,-66,6
-91,-81,-75,-73,11
-86,-75,-80,-54,15
-66,-77,-76,-71,2
-87,-59,-80,-69,15
-76,-62,-88,-67,7
-73,-49,-76,-78,4
-75,-66,-72,-69,8
-80,-68,-83,-60,14
-72,-89,-78,-72,5
-73,-65,-71,-70,8
-71,-88,-80,-73,5
-82,-72,-76,-97,12
-79,-77,-86,-64,14
-76,-72,-74,-71,3
-78,-73,-84,-60,7
-69,-79,-91,-48,10
-84,-78,-83,-62,10
-74,-85,-80,-68,10
-82,-80,-75,-92,12
-65,-73,-82,-72,1
-79,-73,-85,-69,7
-84,-75,-81,-62,10
-76,-77,-78,-62,11
-78,-72,-56,-76,16
-62,-77,-76,-56,2
-59,-72,-88,-58,1
-73,-65,-72,-70,8
-74,-77,-76,-73,2
-74,-82,-92,-68,8
-75,-65,-72,-69,8
-82,-58,-84,-52,7
-74,-94,-86,-77,1
-76,-86,-75,-66,11
-63,-76,-61,-70,11
-62,-73,-75,-68,2
-64,-73,-86,-73,3
-74,-63,-81,-73,4
-67,-73,-79,-56,2
-77,-58,-87,-72,7
-87,-65,-77,-54,15
-73,-74,-68,-66,10
-86,-73,-54,-69,16
-78,-77,-84,-72,6
-79,-73,-77,-71,7
-86,-77,-84,-67,11
-75,-82,-81,-61,10
-62,-78,-77,-70,2
-72,-75,-75,-71,2
-76,-74,-83,-66,6
-71,-78,-82,-72,1
-62,-87,-87,-70,2
-77,-76,-60,-70,11
-63,-77,-77,-73,11
-76,-76,-75,-60,14
-79,-78,-82,-59,10
-73,-64,-91,-69,8
-76,-75,-76,-66,11
-68,-78,-76,-72,2
-74,-74,-96,-62,3
-81,-69,-87,-72,3
-82,-74,-81,-68,15
-72,-72,-86,-72,1
-74,-48,-77,-73,4
-80,-76,-82,-66,6
-95,-73,-83,-73,6
-93,-83,-76,-74,12
-75,-69,-74,-72,11
-78,-72,-56,-69,16
-62,-99,-87,-57,1
-73,-73,-91,-70,3
-65,-59,-69,-71,1
-75,-83,-76,-61,9
-82,-77,-61,-63,14
-73,-65,-87,-63,8
-75,-65,-78,-73,8
-75,-72,-82,-64,10
-71,-83,-79,-74,5
-78,-78,-83,-60,14
-77,-76,-77,-67,11
-74,-68,-89,-72,3
-71,-80,-85,-71,7
-89,-65,-80,-58,15
-77,-78,-90,-69,7
-69,-70,-87,-63,10
-69,-77,-71,-69,10
-77,-77,-83,-69,7
-73,-75,-94,-57,5
-83,-65,-89,-54,15
-77,-75,-69,-69,6
-86,-80,-82,-55,15
-87,-72,-54,-70,16
-68,-80,-74,-74,2
-80,-73,-80,-65,6
-70,-87,-88,-60,9
-72,-65,-71,-71,8
-68,-73,-90,-70,1
-73,-63,-81,-74,4
-74,-72,-90,-80,3
-81,-75,-61,-55,13
-82,-77,-74,-60,14
-73,-81,-45,-58,16
-71,-75,-90,-73,5
-89,-82,-80,-64,10
-73,-78,-72,-56,8
-70,-83,-75,-58,9
-87,-72,-54,-69,16
-80,-80,-63,-66,15
-67,-79,-67,-66,6
-77,-77,-84,-71,7
-83,-59,-83,-68,15
-74,-85,-92,-71,5
-79,-77,-92,-61,14
-95,-77,-84,-60,14
-78,-77,-65,-59,6
-80,-64,-76,-88,4
-79,-77,-84,-59,14
-78,-74,-81,-55,6
-79,-73,-77,-63,15
-73,-66,-71,-72,8
-85,-71,-74,-70,12
-91,-72,-61,-73,12
-89,-70,-76,-85,12
-74,-76,-76,-57,11
-80,-82,-83,-70,15
