B0,B1,B2,Label
-59,-74,-85,1
-40,-94,-81,9
-68,-73,-77,13
-65,-80,-75,2
-55,-53,-77,4
-54,-62,-78,9
-59,-64,-76,1
-74,-71,-79,14
-68,-52,-90,3
-69,-67,-69,4
-88,-61,-60,12
-70,-73,-77,13
-52,-76,-71,5
-70,-75,-72,8
-71,-66,-75,4
-66,-87,-79,2
-72,-72,-70,7
-70,-68,-82,10
-55,-81,-80,10
-77,-67,-85,8
-77,-81,-76,12
-62,-84,-71,12
-75,-81,-72,14
-67,-76,-80,3
-67,-66,-58,16
-60,-84,-82,13
-72,-55,-82,7
-52,-77,-61,5
-85,-69,-61,12
-55,-76,-79,9
-71,-80,-85,7
-74,-79,-79,14
-55,-74,-83,1
-72,-74,-80,7
-51,-79,-79,10
-35,-79,-80,5
-61,-61,-68,10
-34,-78,-69,9
-71,-71,-80,13
-69,-66,-62,4
-69,-71,-74,7
-68,-73,-76,13
-71,-66,-81,8
-58,-72,-81,7
-66,-58,-74,6
-76,-67,-79,14
-69,-76,-84,10
-70,-73,-77,13
-73,-73,-65,14
-69,-60,-78,13
-72,-78,-66,3
-67,-77,-81,11
-71,-80,-83,10
-44,-84,-78,9
-73,-79,-81,14
-69,-67,-92,10
-77,-67,-81,14
-66,-79,-80,6
-58,-71,-71,14
-54,-71,-81,7
-65,-76,-60,11
-70,-69,-89,8
-51,-79,-78,5
-83,-73,-77,12
-78,-50,-56,8
-75,-89,-79,13
-68,-65,-76,4
-70,-73,-84,7
-59,-74,-82,1
-71,-81,-81,15
-82,-71,-77,12
-67,-72,-81,6
-79,-51,-87,8
-71,-78,-79,15
-69,-73,-64,13
-67,-73,-84,6
-71,-59,-79,13
-82,-71,-74,12
-69,-68,-83,8
-67,-71,-81,3
-83,-74,-55,8
-76,-71,-72,12
-54,-60,-78,13
-70,-51,-85,3
-79,-68,-88,8
-70,-75,-47,16
-72,-79,-80,15
-72,-72,-68,3
-58,-75,-78,1
-74,-84,-78,14
-74,-72,-64,14
-51,-76,-62,5
-81,-65,-86,8
-60,-82,-79,1
-67,-76,-81,6
-76,-72,-81,14
-65,-76,-80,11
-81,-89,-71,12
-69,-79,-81,10
-53,-84,-79,9
-68,-80,-81,11
-53,-89,-81,9
-55,-87,-81,9
-74,-76,-80,10
-52,-75,-83,6
-77,-81,-71,14
-70,-72,-81,13
-72,-66,-87,3
-58,-67,-81,3
-54,-65,-76,9
-76,-91,-76,12
-56,-71,-78,15
-58,-76,-83,1
-55,-67,-84,8
-36,-83,-81,9
-73,-79,-69,14
-65,-71,-82,6
-84,-83,-77,14
-71,-74,-74,13
-81,-53,-84,8
-70,-58,-73,15
-70,-71,-80,7
-64,-83,-76,11
-68,-82,-72,10
-70,-80,-80,11
-53,-69,-65,4
-66,-64,-81,11
-75,-82,-76,12
-59,-77,-75,15
-66,-88,-75,12
-67,-52,-77,3
-69,-65,-78,13
-88,-76,-69,15
-69,-67,-78,8
-52,-79,-77,5
-55,-85,-82,9
-67,-76,-76,11
-65,-75,-79,6
-57,-73,-82,1
-53,-64,-84,4
-62,-80,-78,2
-70,-82,-81,11
-72,-82,-58,14
-64,-76,-75,11
-81,-57,-79,15
-76,-55,-71,12
-54,-81,-66,9
-70,-73,-80,13
-72,-88,-90,10
-69,-70,-79,11
-71,-72,-72,13
-79,-62,-73,15
-50,-72,-67,3
-76,-83,-75,12
-69,-73,-64,16
-68,-59,-68,6
-69,-72,-62,16
-76,-80,-72,12
-55,-83,-91,9
-73,-66,-85,3
-69,-67,-82,4
-70,-85,-86,13
-75,-79,-61,12
-63,-80,-75,2
-67,-71,-80,6
-54,-78,-77,9
-44,-77,-77,9
-67,-81,-76,11
-70,-74,-63,16
-53,-66,-82,4
-57,-80,-79,1
-71,-67,-81,4
-70,-73,-77,13
-70,-62,-88,8
-57,-81,-82,1
-52,-73,-63,5
-65,-61,-76,2
-71,-76,-71,8
-68,-61,-84,6
-66,-60,-66,6
-72,-75,-86,3
-59,-84,-73,14
-65,-61,-63,2
-64,-94,-82,1
-67,-73,-64,16
-73,-63,-79,15
-64,-67,-81,4
-64,-79,-78,2
-70,-71,-62,16
-84,-73,-72,12
-67,-75,-79,6
-67,-71,-82,6
-71,-75,-93,3
-75,-80,-81,10
-70,-67,-71,8
-64,-63,-61,2
-70,-72,-87,7
-70,-71,-79,15
-59,-83,-68,1
-72,-71,-77,13
-55,-67,-71,8
-50,-68,-78,4
-69,-72,-81,13
-58,-73,-61,16
-65,-76,-77,11
-80,-93,-72,12
-66,-68,-79,3
-63,-72,-81,6
-52,-64,-65,5
-41,-62,-78,5
-70,-66,-86,3
-72,-72,-74,15
-50,-88,-79,5
-74,-88,-80,14
-68,-73,-66,16
-54,-79,-73,15
-67,-79,-80,11
-61,-74,-91,8
-59,-87,-74,1
-57,-51,-66,3
-82,-91,-75,12
-68,-75,-79,3
-58,-71,-86,7
-57,-80,-81,11
-71,-58,-83,7
-67,-55,-65,4
-65,-79,-82,11
-70,-82,-65,15
-47,-83,-79,1
-67,-72,-79,6
-55,-76,-79,6
-62,-76,-73,10
-69,-71,-77,15
-68,-75,-71,8
-49,-71,-65,6
-69,-66,-65,16
-63,-69,-72,8
-71,-72,-76,13
-67,-75,-64,16
-55,-75,-83,8
-48,-74,-75,6
-66,-72,-82,6
-58,-86,-81,1
-86,-71,-71,12
-53,-62,-86,10
-63,-78,-77,2
-74,-72,-86,10
-45,-82,-82,1
-58,-61,-69,1
-76,-66,-76,12
-35,-79,-61,5
-80,-85,-76,12
-55,-73,-62,16
-69,-75,-62,16
-66,-75,-84,6
-69,-66,-78,4
-54,-53,-76,4
-70,-59,-62,16
-72,-71,-83,7
-80,-90,-76,12
-66,-74,-80,6
-71,-79,-73,15
-76,-81,-86,10
-52,-63,-84,10
-76,-86,-66,14
-54,-72,-85,7
-70,-74,-76,11
-50,-69,-76,11
-38,-76,-78,9
-65,-82,-86,1
