B1_RSSI,B2_RSSI,B3_RSSI,Class
-51,-78,-79,5
-51,-74,-79,5
-51,-74,-79,5
-51,-78,-79,5
-50,-78,-79,5
-50,-64,-79,5
-42,-86,-62,5
-52,-86,-62,5
-41,-80,-90,5
-51,-79,-91,5
-51,-78,-91,5
-36,-78,-91,5
-52,-67,-94,5
-52,-61,-89,5
-51,-78,-89,5
-35,-82,-87,5
-35,-83,-80,5
-40,-78,-87,5
-39,-77,-78,5
-52,-77,-85,5
-52,-78,-79,5
-51,-78,-77,5
-52,-67,-77,5
-35,-83,-77,5
-42,-78,-63,5
-50,-78,-90,5
-52,-77,-80,5
-50,-85,-94,5
-57,-85,-94,5
-26,-89,-80,5
-52,-87,-74,5
-52,-77,-61,5
-50,-88,-79,5
-50,-78,-66,5
-51,-77,-89,5
-51,-77,-80,5
-36,-77,-80,5
-50,-77,-84,5
-52,-86,-80,5
-50,-63,-80,5
-52,-89,-89,5
-50,-67,-88,5
-52,-67,-89,5
-52,-89,-89,5
-41,-79,-89,5
-51,-62,-89,5
-50,-76,-79,5
-52,-89,-87,5
-52,-85,-88,5
-52,-77,-80,5
-52,-89,-77,5
-46,-79,-91,5
-52,-87,-91,5
-51,-75,-65,6
-65,-75,-80,6
-52,-73,-82,6
-49,-57,-81,6
-65,-74,-81,6
-65,-74,-79,6
-68,-74,-79,6
-67,-73,-68,6
-66,-73,-68,6
-69,-73,-81,6
-69,-73,-72,6
-65,-75,-84,6
-49,-71,-65,6
-67,-73,-81,6
-67,-71,-80,6
-52,-74,-83,6
-66,-58,-85,6
-66,-72,-78,6
-68,-71,-85,6
-67,-73,-82,6
-65,-71,-82,6
-64,-74,-81,6
-68,-76,-69,6
-68,-75,-68,6
-68,-72,-83,6
-48,-74,-75,6
-65,-72,-70,6
-65,-72,-79,6
-68,-75,-67,6
-52,-71,-86,6
-66,-58,-74,6
-65,-74,-66,6
-67,-75,-66,6
-67,-73,-84,6
-66,-60,-66,6
-49,-72,-83,6
-55,-76,-79,6
-69,-58,-82,6
-66,-59,-90,6
-57,-60,-78,6
-73,-58,-80,6
-66,-71,-80,6
-65,-58,-79,6
-65,-74,-70,6
-66,-80,-83,6
-52,-75,-70,6
-52,-74,-84,6
-62,-71,-84,6
-68,-71,-84,6
-65,-75,-84,6
-65,-60,-72,6
-52,-74,-66,6
-66,-74,-84,6
-66,-75,-81,6
-68,-71,-82,6
-69,-71,-77,6
-66,-73,-80,6
-51,-59,-80,6
-53,-71,-82,6
-52,-71,-84,6
-67,-71,-79,6
-67,-72,-79,6
-66,-59,-79,6
-66,-73,-70,6
-68,-72,-81,6
-68,-72,-79,6
-67,-72,-81,6
-68,-74,-69,6
-52,-75,-86,6
-52,-75,-67,6
-65,-72,-85,6
-68,-74,-85,6
-66,-60,-82,6
-66,-74,-79,6
-66,-72,-84,6
-49,-72,-84,6
-64,-73,-84,6
-67,-73,-84,6
-64,-76,-85,6
-68,-59,-79,6
-68,-73,-68,6
-68,-60,-83,6
-52,-60,-81,6
-52,-72,-81,6
-66,-73,-78,6
-52,-73,-83,6
-67,-73,-82,6
-68,-72,-81,6
-68,-58,-81,6
-52,-76,-83,6
-67,-75,-83,6
-68,-75,-83,6
-52,-75,-83,6
-52,-76,-70,6
-52,-72,-83,6
-67,-72,-85,6
-66,-75,-79,6
-65,-72,-81,6
-52,-75,-81,6
-68,-74,-82,6
-66,-58,-81,6
-67,-74,-81,6
-68,-77,-85,6
-68,-72,-85,6
-65,-74,-78,6
-65,-77,-81,6
-67,-75,-82,6
-67,-72,-69,6
-52,-74,-65,6
-52,-74,-65,6
-66,-59,-84,6
-64,-72,-79,6
-67,-76,-81,6
-65,-72,-81,6
-68,-72,-81,6
-67,-72,-81,6
-50,-75,-82,6
-62,-72,-82,6
-65,-75,-81,6
-66,-75,-84,6
-52,-61,-81,6
-66,-72,-82,6
-66,-72,-70,6
-52,-75,-83,6
-51,-72,-81,6
-68,-61,-84,6
-52,-75,-80,6
-52,-76,-79,6
-65,-75,-79,6
-53,-75,-65,6
-68,-58,-79,6
-68,-74,-68,6
-52,-74,-69,6
-64,-72,-81,6
-68,-72,-82,6
-68,-74,-69,6
-68,-59,-68,6
-68,-74,-65,6
-65,-76,-84,6
-65,-75,-80,6
-68,-72,-79,6
-66,-75,-79,6
-68,-76,-83,6
