B1_RSSI,B2_RSSI,B3_RSSI,B4_RSSI,Class
-76,-73,-80,-74,3
-74,-68,-80,-73,3
-81,-74,-88,-82,3
-73,-69,-82,-71,3
-75,-70,-82,-71,3
-75,-73,-73,-80,3
-72,-73,-84,-72,3
-72,-70,-92,-80,3
-77,-68,-78,-80,3
-76,-68,-82,-73,3
-77,-68,-82,-81,3
-78,-72,-82,-63,3
-76,-56,-82,-68,3
-76,-69,-95,-68,3
-81,-74,-80,-74,3
-74,-74,-87,-74,3
-80,-72,-87,-85,3
-81,-69,-87,-72,3
-74,-68,-83,-73,3
-75,-67,-83,-74,3
-69,-73,-77,-72,3
-80,-69,-85,-86,3
-67,-69,-80,-86,3
-81,-69,-73,-72,3
-60,-69,-83,-72,3
-74,-69,-88,-74,3
-74,-69,-102,-76,3
-74,-69,-102,-72,3
-60,-75,-86,-72,3
-75,-53,-81,-72,3
-74,-73,-80,-72,3
-79,-67,-83,-72,3
-80,-73,-67,-72,3
-71,-72,-87,-72,3
-74,-69,-77,-79,3
-77,-57,-89,-88,3
-74,-58,-85,-88,3
-66,-74,-94,-72,3
-80,-93,-94,-71,3
-77,-68,-86,-72,3
-75,-69,-68,-82,3
-74,-69,-81,-74,3
-80,-73,-81,-63,3
-75,-73,-79,-79,3
-75,-73,-86,-81,3
-75,-69,-86,-94,3
-75,-67,-80,-86,3
-81,-73,-86,-73,3
-74,-73,-87,-62,3
-77,-69,-91,-72,3
-77,-53,-84,-73,3
-75,-67,-87,-72,3
-75,-68,-87,-73,3
-77,-74,-82,-75,3
-65,-63,-82,-74,3
-75,-75,-73,-67,3
-74,-67,-82,-73,3
-74,-67,-84,-73,3
-74,-58,-82,-73,3
-80,-58,-94,-71,3
-65,-68,-94,-85,3
-75,-53,-94,-75,3
-81,-52,-81,-86,3
-75,-53,-88,-74,3
-75,-69,-88,-73,3
-75,-67,-88,-68,3
-60,-54,-89,-72,3
-68,-54,-81,-72,3
-75,-54,-67,-73,3
-74,-72,-65,-83,3
-61,-70,-76,-59,3
-73,-54,-76,-73,3
-73,-69,-82,-75,3
-73,-74,-81,-72,3
-68,-59,-71,-67,3
-74,-73,-75,-81,3
-75,-63,-88,-82,3
-65,-70,-83,-72,3
-75,-70,-82,-80,3
-74,-57,-83,-74,3
-75,-72,-92,-72,3
-73,-68,-92,-73,3
-73,-53,-95,-72,3
-75,-72,-95,-67,3
-73,-73,-69,-72,3
-73,-70,-72,-73,3
-74,-70,-72,-64,3
-73,-70,-72,-72,3
-74,-68,-72,-58,3
-81,-69,-72,-73,3
-79,-72,-86,-75,3
-74,-73,-88,-83,3
-75,-59,-86,-71,3
-74,-59,-82,-74,3
-74,-72,-90,-80,3
-80,-72,-90,-72,3
-80,-72,-90,-81,3
-80,-58,-81,-87,3
-76,-68,-82,-82,3
-74,-68,-80,-82,3
-74,-70,-80,-81,3
-69,-70,-90,-73,3
-75,-72,-74,-73,3
-75,-72,-82,-73,3
-60,-68,-82,-82,3
-76,-72,-74,-71,3
-80,-69,-69,-73,3
-80,-54,-82,-73,3
-75,-54,-82,-73,3
-75,-68,-65,-74,3
-76,-72,-65,-71,3
-81,-71,-81,-72,3
-74,-66,-82,-75,3
-74,-69,-82,-72,3
-74,-68,-69,-72,3
-75,-62,-93,-88,3
-76,-69,-83,-58,3
-69,-59,-83,-72,3
-73,-72,-77,-75,3
-80,-62,-95,-72,3
-70,-70,-95,-72,3
-76,-70,-86,-83,3
-81,-67,-67,-73,3
-59,-69,-83,-83,3
-75,-68,-82,-72,3
-74,-59,-77,-72,3
-74,-68,-77,-72,3
-73,-70,-77,-74,3
-74,-68,-77,-66,3
-74,-54,-82,-74,3
-60,-57,-67,-73,3
-74,-56,-81,-83,3
-74,-70,-81,-82,3
-68,-68,-81,-73,3
-74,-70,-81,-73,3
-65,-68,-86,-83,3
-74,-68,-81,-83,3
-74,-69,-81,-72,3
-68,-68,-89,-73,3
-73,-70,-82,-72,3
-67,-54,-81,-72,3
-80,-68,-88,-59,3
-60,-69,-88,-58,3
-60,-68,-74,-83,3
-75,-68,-74,-67,3
-74,-54,-95,-58,3
-73,-69,-87,-82,3
-80,-69,-87,-82,3
-74,-73,-81,-59,3
-62,-54,-88,-58,3
-74,-70,-88,-84,3
-75,-54,-87,-68,3
-77,-54,-81,-83,3
-74,-53,-81,-83,3
-73,-73,-90,-58,3
-65,-68,-81,-72,3
-80,-73,-76,-72,3
-73,-69,-99,-72,3
-75,-86,-81,-72,3
-75,-74,-82,-71,3
-73,-74,-68,-71,3
-73,-57,-86,-72,3
-75,-73,-92,-72,3
-59,-73,-87,-85,3
-80,-54,-77,-59,3
-80,-68,-68,-57,3
-77,-72,-82,-57,3
-77,-54,-81,-73,3
-75,-54,-82,-70,3
-75,-69,-82,-70,3
-74,-70,-89,-84,3
-76,-65,-81,-71,3
-80,-54,-81,-58,3
-64,-70,-82,-73,3
-66,-69,-97,-83,3
-73,-68,-88,-66,3
-80,-73,-92,-83,3
-78,-72,-78,-73,3
-73,-70,-79,-89,3
-79,-70,-92,-72,3
-79,-68,-79,-72,3
-80,-70,-82,-72,3
-79,-54,-91,-57,3
-80,-69,-91,-80,3
-75,-68,-83,-58,3
-73,-69,-83,-74,3
-83,-70,-83,-73,3
-81,-68,-69,-73,3
-72,-73,-86,-80,3
-79,-73,-83,-67,3
-66,-69,-81,-77,3
-74,-70,-91,-77,3
-81,-69,-72,-57,3
-74,-57,-89,-76,3
-73,-57,-80,-73,3
-82,-68,-90,-72,3
-65,-68,-81,-72,3
-75,-74,-81,-63,3
-64,-69,-77,-72,3
-78,-72,-81,-81,3
-78,-69,-81,-72,3
-75,-69,-96,-72,3
-59,-68,-87,-80,3
-72,-73,-82,-80,3
-69,-60,-89,-80,3
-74,-71,-77,-73,3
-63,-70,-77,-73,3
-63,-54,-78,-73,3
-63,-72,-84,-85,3
-75,-68,-83,-88,3
-75,-73,-83,-72,3
-74,-68,-82,-70,3
-73,-59,-92,-73,3
-73,-55,-84,-73,3
-73,-55,-88,-79,3
-75,-72,-86,-72,3
-68,-72,-91,-72,3
-80,-69,-84,-82,3
-74,-57,-84,-83,3
-62,-69,-88,-73,3
-76,-69,-76,-78,3
-74,-59,-76,-64,3
-74,-69,-82,-78,3
-72,-58,-79,-76,4
-75,-78,-66,-76,4
-81,-65,-74,-76,4
-81,-65,-78,-80,4
-80,-63,-79,-79,4
-80,-64,-68,-76,4
-69,-59,-72,-76,4
-79,-66,-82,-75,4
-94,-63,-82,-77,4
-72,-63,-64,-75,4
-73,-78,-80,-75,4
-75,-65,-65,-77,4
-84,-63,-99,-75,4
-61,-63,-77,-68,4
-73,-65,-78,-60,4
-80,-65,-89,-62,4
-80,-47,-80,-68,4
-56,-63,-80,-59,4
-75,-63,-80,-73,4
-74,-64,-80,-78,4
-63,-64,-79,-81,4
-59,-65,-79,-72,4
-62,-64,-76,-58,4
-76,-65,-80,-74,4
-73,-49,-76,-78,4
-73,-64,-81,-83,4
-73,-63,-78,-79,4
-75,-63,-78,-79,4
-79,-63,-77,-72,4
-63,-63,-76,-72,4
-81,-48,-78,-76,4
-73,-64,-80,-82,4
-57,-64,-80,-77,4
-66,-54,-74,-66,4
-63,-65,-81,-72,4
-76,-65,-77,-75,4
-72,-47,-68,-82,4
-76,-62,-67,-60,4
-72,-63,-65,-77,4
-72,-64,-65,-72,4
-82,-63,-83,-74,4
-76,-62,-68,-61,4
-73,-63,-80,-74,4
-66,-65,-68,-72,4
-77,-47,-76,-76,4
-61,-64,-81,-79,4
-77,-64,-76,-73,4
-75,-64,-79,-76,4
-80,-64,-82,-81,4
-58,-63,-83,-81,4
-62,-65,-76,-73,4
-76,-63,-76,-75,4
-76,-65,-80,-82,4
-80,-65,-62,-81,4
-58,-47,-79,-77,4
-58,-63,-65,-64,4
-73,-47,-77,-60,4
-61,-49,-82,-59,4
-82,-64,-81,-60,4
-71,-64,-80,-75,4
-80,-64,-80,-74,4
-84,-48,-81,-72,4
-73,-65,-85,-60,4
-73,-63,-82,-74,4
-73,-64,-76,-72,4
-76,-65,-82,-57,4
-63,-63,-66,-58,4
-73,-63,-83,-63,4
-79,-64,-80,-73,4
-79,-64,-80,-75,4
-71,-64,-82,-66,4
-81,-47,-80,-72,4
-75,-63,-80,-74,4
-76,-63,-79,-74,4
-76,-65,-79,-83,4
-62,-63,-83,-83,4
-77,-63,-68,-62,4
