B0,B1,B2,B3,Label
-87,-72,-55,-68,16
-86,-72,-65,-75,12
-57,-74,-76,-74,5
-80,-64,-71,-68,8
-71,-83,-76,-62,9
-73,-83,-89,-74,1
-72,-79,-90,-71,1
-65,-77,-79,-71,1
-85,-85,-76,-78,12
-74,-75,-73,-71,1
-76,-63,-77,-72,4
-70,-82,-75,-58,9
-80,-85,-74,-92,12
-69,-88,-95,-43,9
-70,-97,-84,-71,1
-81,-48,-78,-76,4
-74,-74,-79,-52,13
-73,-59,-81,-81,4
-66,-54,-74,-66,4
-81,-80,-56,-69,16
-83,-80,-61,-52,13
-74,-64,-79,-77,4
-81,-102,-85,-65,9
-75,-65,-56,-70,16
-50,-76,-83,-72,1
-82,-83,-76,-75,12
-66,-83,-90,-61,9
-88,-62,-74,-86,12
-73,-64,-71,-70,8
-73,-64,-79,-74,4
-74,-66,-88,-58,8
-88,-73,-45,-69,16
-85,-67,-55,-55,16
-84,-76,-65,-44,13
-57,-75,-78,-55,13
-75,-67,-87,-58,9
-85,-72,-55,-68,16
-74,-67,-72,-70,8
-89,-73,-55,-55,16
-71,-64,-62,-73,4
-74,-64,-82,-81,4
-65,-64,-71,-72,8
-86,-83,-71,-70,8
-65,-88,-85,-79,1
-68,-84,-85,-57,9
-71,-71,-77,-87,12
-73,-65,-85,-60,4
-80,-47,-80,-68,4
-94,-50,-71,-70,8
-65,-90,-78,-70,1
-79,-63,-77,-72,4
-73,-64,-71,-69,8
-75,-74,-68,-57,13
-75,-64,-65,-73,4
-65,-74,-79,-73,1
-89,-84,-59,-78,12
-73,-58,-79,-75,5
-74,-66,-90,-68,8
-56,-75,-78,-57,5
-76,-48,-65,-81,4
-84,-81,-76,-76,12
-54,-80,-84,-58,9
-82,-64,-78,-65,4
-72,-47,-68,-82,4
-74,-86,-89,-77,5
-73,-64,-80,-78,4
-74,-78,-80,-44,13
-75,-81,-76,-56,13
-77,-63,-77,-73,4
-66,-74,-82,-70,1
-89,-85,-78,-55,13
-82,-82,-50,-71,16
-78,-64,-75,-59,4
-82,-80,-56,-59,16
-72,-81,-55,-55,16
-78,-73,-56,-69,16
-84,-81,-75,-86,12
-67,-82,-77,-76,1
-60,-65,-65,-38,13
-72,-72,-86,-72,1
-83,-70,-54,-71,16
-74,-65,-72,-68,8
-72,-95,-85,-63,5
-94,-83,-79,-47,13
-73,-60,-72,-71,8
-86,-56,-65,-75,12
-73,-85,-82,-71,1
-73,-65,-85,-69,8
-59,-72,-85,-57,9
-104,-66,-72,-72,8
-90,-68,-75,-66,12
-88,-65,-72,-55,8
-70,-79,-86,-45,9
-69,-81,-83,-59,9
-69,-84,-78,-58,9
-84,-66,-54,-54,16
-64,-76,-78,-56,13
-72,-97,-79,-76,1
-82,-85,-75,-76,12
-65,-78,-86,-71,1
-74,-64,-71,-70,8
-68,-85,-83,-59,9
-82,-80,-44,-68,16
-72,-86,-79,-72,5
-81,-67,-72,-72,8
-90,-64,-56,-69,16
-86,-71,-71,-75,12
-68,-83,-85,-49,9
-54,-80,-83,-63,9
-72,-80,-83,-63,1
-65,-59,-87,-70,1
-76,-55,-89,-65,8
-74,-66,-86,-59,8
-86,-65,-72,-65,8
-69,-81,-81,-70,1
-88,-71,-75,-76,12
-56,-50,-81,-71,4
-80,-64,-68,-76,4
-70,-89,-90,-61,1
-72,-86,-73,-72,5
-77,-75,-79,-35,13
-73,-59,-80,-69,4
-56,-77,-83,-70,1
-75,-71,-86,-59,9
-65,-76,-86,-68,1
-86,-82,-77,-89,12
-86,-65,-89,-61,8
-74,-64,-62,-76,4
-74,-67,-85,-68,8
-84,-69,-61,-77,12
-63,-63,-66,-58,4
-73,-65,-71,-69,8
-71,-88,-86,-58,9
-71,-86,-73,-53,9
-70,-75,-79,-78,5
-73,-65,-71,-57,8
-82,-63,-83,-74,4
-80,-65,-80,-74,4
-68,-84,-44,-78,16
-75,-71,-75,-88,12
-76,-78,-63,-56,13
-71,-83,-77,-56,13
-92,-65,-71,-70,8
-82,-58,-55,-63,16
-67,-84,-87,-73,5
-74,-71,-75,-84,12
-75,-64,-77,-74,4
-72,-73,-79,-72,1
-74,-65,-80,-81,4
-85,-63,-77,-73,4
-69,-72,-75,-58,9
-74,-81,-68,-52,13
-87,-82,-76,-71,5
-60,-66,-56,-71,8
-69,-69,-76,-77,12
-70,-83,-35,-79,16
-70,-75,-84,-56,1
-69,-71,-75,-78,12
-87,-81,-54,-68,16
-74,-61,-71,-66,8
-82,-85,-75,-71,12
-88,-82,-61,-79,12
-59,-51,-57,-68,8
-75,-75,-81,-91,1
-68,-68,-74,-59,9
-82,-63,-62,-73,4
-58,-82,-82,-71,9
-66,-64,-80,-75,1
-74,-65,-81,-53,13
-57,-62,-80,-53,13
-81,-71,-76,-92,12
-81,-82,-56,-77,16
-60,-74,-72,-69,8
-53,-77,-69,-45,9
-77,-77,-74,-58,13
-81,-62,-76,-94,12
-69,-86,-85,-58,9
-70,-85,-86,-58,9
-95,-79,-88,-64,8
-82,-64,-56,-68,16
-71,-72,-84,-62,9
-71,-74,-81,-71,1
-72,-86,-80,-73,5
-88,-66,-55,-70,16
-70,-84,-75,-58,9
-70,-81,-75,-59,9
-80,-74,-54,-70,16
-69,-74,-55,-67,16
